0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
Welcome to Collinwood,2002,R,18 Oct 2002,86 min,"Comedy, Crime","Anthony Russo, Joe Russo","Anthony Russo, Joe Russo","George Clooney, Sam Rockwell, William H. Macy","Cosimo gets a plan for a huge job from his cellmate. He asks his woman to find a patsy for his bungled car theft, offering $15,000. Suddenly, seven are involved.",English,"United States, Germany",2 nominations total,https://m.media-amazon.com/images/M/MV5BMTc0NTI1MjMwMl5BMl5BanBnXkFtZTYwNTE2NzY3._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.3/10'}, {'Source': 'Rotten Tomatoes', 'Value': '55%'}, {'Source': 'Metacritic', 'Value': '61/100'}]",61,6.3,"15,868",tt0271259,movie,N/A,"$336,620",N/A,N/A,True
Critical Care,1997,R,31 Oct 1997,107 min,"Comedy, Drama",Sidney Lumet,"Richard Dooling, Steven Schwartz","James Spader, Kyra Sedgwick, Helen Mirren",A hospital resident is put in the middle of a legal battle between two half-sisters on whether to pull their comatose dad's life support. But more seems to be at stake than dad's life - his inheritance.,English,"Australia, United States",1 nomination,https://m.media-amazon.com/images/M/MV5BYzI4NjQ0OGQtNWQ4Ni00NGNjLTkyNDUtNDY2ZTcyM2U4OGRjXkEyXkFqcGc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '5.9/10'}, {'Source': 'Rotten Tomatoes', 'Value': '59%'}]",N/A,5.9,"2,335",tt0118901,movie,N/A,"$221,193",N/A,N/A,True
The Life Before Her Eyes,2007,R,05 Sep 2008,90 min,"Drama, Fantasy, Mystery",Vadim Perelman,"Laura Kasischke, Emil Stern","Uma Thurman, Evan Rachel Wood, Eva Amurri",A woman's survivor's guilt from a Columbine-like event 15 years ago causes her present-day idyllic life to fall apart.,English,United States,2 wins,https://m.media-amazon.com/images/M/MV5BMTM1MzAxNzgyM15BMl5BanBnXkFtZTcwNjAyOTM2MQ@@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.2/10'}, {'Source': 'Rotten Tomatoes', 'Value': '24%'}, {'Source': 'Metacritic', 'Value': '38/100'}]",38,6.2,"15,030",tt0815178,movie,N/A,"$303,439",N/A,N/A,True
Darling Companion,2012,PG-13,24 May 2012,103 min,"Comedy, Drama, Romance",Lawrence Kasdan,"Meg Kasdan, Lawrence Kasdan","Diane Keaton, Kevin Kline, Dianne Wiest",The story of a woman who loves her dog more than her husband. And then her husband loses the dog.,English,United States,N/A,https://m.media-amazon.com/images/M/MV5BMjA5NTQ3MDExMl5BMl5BanBnXkFtZTcwNjU1MTc2Nw@@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '5.2/10'}, {'Source': 'Rotten Tomatoes', 'Value': '21%'}, {'Source': 'Metacritic', 'Value': '41/100'}]",41,5.2,"3,894",tt1730687,movie,N/A,"$793,815",N/A,N/A,True
World Trade Center,2006,PG-13,09 Aug 2006,129 min,"Drama, History, Thriller",Oliver Stone,"Andrea Berloff, John McLoughlin, Donna McLoughlin","Nicolas Cage, Michael Peña, Maria Bello",Two Port Authority police officers become trapped under the rubble of the World Trade Center.,English,"Germany, United States",4 wins & 12 nominations total,https://m.media-amazon.com/images/M/MV5BMTIxMzE5ODEwOV5BMl5BanBnXkFtZTcwMzM3MzIzMQ@@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.0/10'}, {'Source': 'Rotten Tomatoes', 'Value': '66%'}, {'Source': 'Metacritic', 'Value': '66/100'}]",66,6.0,"89,194",tt0469641,movie,N/A,"$70,278,893",N/A,N/A,True
Fateless,2005,R,10 Feb 2005,140 min,"Drama, Romance, War",Lajos Koltai,Imre Kertész,"Marcell Nagy, Béla Dóra, Bálint Péntek","14-year-old György's life is torn apart in WWII Hungary, as he is deported first to Auschwitz and then to Buchenwald, where he is forced to become a man in the midst of hatred, and what it really means to be Jewish.","Hungarian, German, English, Yiddish, Hebrew, Polish","Hungary, Germany, United Kingdom, Israel, France, United States",6 wins & 7 nominations,https://m.media-amazon.com/images/M/MV5BMTA3MTg1MDk4NTleQTJeQWpwZ15BbWU3MDQ1NTg1MzE@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.0/10'}, {'Source': 'Rotten Tomatoes', 'Value': '95%'}, {'Source': 'Metacritic', 'Value': '87/100'}]",87,7.0,"7,224",tt0367082,movie,N/A,"$196,857",N/A,N/A,True
Breakfast of Champions,1999,R,17 Sep 1999,110 min,Comedy,Alan Rudolph,"Kurt Vonnegut Jr., Alan Rudolph","Bruce Willis, Nick Nolte, Albert Finney",A rich car dealer is losing his mind. His son lives in the bomb shelter. His suicidal wife has an affair with his transvestite sales manager.,English,United States,1 nomination,https://m.media-amazon.com/images/M/MV5BMTU4MDU4NTkwOF5BMl5BanBnXkFtZTcwNjAzNTUyMQ@@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '4.5/10'}, {'Source': 'Rotten Tomatoes', 'Value': '28%'}, {'Source': 'Metacritic', 'Value': '42/100'}]",42,4.5,"8,339",tt0120618,movie,N/A,"$178,278",N/A,N/A,True
"A Woman, a Gun and a Noodle Shop",2009,R,11 Dec 2009,95 min,"Comedy, Drama",Yimou Zhang,"Zhengchao Xu, Jianquan Shi, Xiaofeng Zhou","Dahong Ni, Ni Yan, Shenyang Xiao",The owner of a Chinese noodle shop's scheme to murder his adulterous wife and her lover goes awry.,"Mandarin, English","China, Hong Kong",5 nominations total,https://m.media-amazon.com/images/M/MV5BMTA2ODA3OTA3MzZeQTJeQWpwZ15BbWU3MDc4NzQyNzM@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '5.6/10'}, {'Source': 'Rotten Tomatoes', 'Value': '34%'}, {'Source': 'Metacritic', 'Value': '57/100'}]",57,5.6,"3,535",tt1428556,movie,03 Jan 2016,"$190,946","Beijing New Picture Film Co., Film Partner International",N/A,True
Cypher,2002,R,02 Aug 2002,95 min,"Mystery, Sci-Fi, Thriller",Vincenzo Natali,Brian King,"Jeremy Northam, Lucy Liu, Nigel Bennett","An unsuspecting, disenchanted man finds himself working as a spy in the dangerous, high-stakes world of corporate espionage. Quickly getting way over-his-head, he teams up with a mysterious femme fatale.",English,United States,5 wins & 3 nominations,https://m.media-amazon.com/images/M/MV5BNDBkYzkyZjAtMzJhZS00MTU3LThkYTUtZjA0NDgwOTY0M2M3XkEyXkFqcGc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.7/10'}, {'Source': 'Rotten Tomatoes', 'Value': '59%'}]",N/A,6.7,"32,281",tt0284978,movie,N/A,N/A,N/A,N/A,True
City of Life and Death,2009,R,22 Apr 2009,133 min,"Drama, History, War",Chuan Lu,Chuan Lu,"Ye Liu, Wei Fan, Hideo Nakaizumi","In 1937, Japan occupied Nanjing, the Chinese capital. There was a battle and subsequent atrocities against the inhabitants, especially those who took refuge in the International Security Zone.","Mandarin, English, Japanese, German","China, Hong Kong",17 wins & 15 nominations total,https://m.media-amazon.com/images/M/MV5BMDMxM2YxMWMtYTgxOC00YWU5LWE5NWEtNGI2MWQ4NTI0MTFmXkEyXkFqcGc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.7/10'}, {'Source': 'Rotten Tomatoes', 'Value': '92%'}, {'Source': 'Metacritic', 'Value': '85/100'}]",85,7.7,"11,949",tt1124052,movie,N/A,"$122,558",N/A,N/A,True
Spider-Man: No Way Home,2021,PG-13,17 Dec 2021,148 min,"Action, Adventure, Fantasy",Jon Watts,"Chris McKenna, Erik Sommers, Stan Lee","Tom Holland, Zendaya, Benedict Cumberbatch","With Spider-Man's identity now revealed, Peter asks Doctor Strange for help. When a spell goes wrong, dangerous foes from other worlds start to appear.","English, Tagalog",United States,Nominated for 1 Oscar. 35 wins & 71 nominations total,https://m.media-amazon.com/images/M/MV5BMmFiZGZjMmEtMTA0Ni00MzA2LTljMTYtZGI2MGJmZWYzZTQ2XkEyXkFqcGc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '8.2/10'}, {'Source': 'Rotten Tomatoes', 'Value': '93%'}, {'Source': 'Metacritic', 'Value': '71/100'}]",71,8.2,"951,737",tt10872600,movie,N/A,"$814,866,759",N/A,N/A,True
Legend of Kung Fu Rabbit,2011,PG,11 Jul 2011,89 min,"Animation, Action, Adventure","Lijun Sun, Melanie Simka","Melanie Simka, Mychal Simka, Jingzhi Zou","Jon Heder, Tom Arnold, Rebecca Black","Fu is telepathically given the ultimate kung fu power after rescuing a martial arts master from a fatal attack with the promise that he would return the tablet to his daughter, Penny.","Mandarin, English","China, United States",4 wins & 1 nomination,https://m.media-amazon.com/images/M/MV5BN2FkZmE2NzQtMjg1Zi00ZmE3LTg5YzUtZmMyZDA3NjdhZjEwXkEyXkFqcGc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '3.2/10'}]",N/A,3.2,710,tt1876517,movie,N/A,N/A,N/A,N/A,True
Space Battleship Yamato,2010,TV-14,01 Dec 2010,138 min,"Action, Adventure, Drama",Takashi Yamazaki,"Leiji Matsumoto, Yoshinobu Nishizaki, Shimako Sato","Takuya Kimura, Meisa Kuroki, Toshirô Yanagiba","In 2199, the crew of the space battleship Yamato embark on a dangerous journey to the planet Iskandar to acquire a device that will rejuvenate the war-ravaged Earth.",Japanese,Japan,1 win & 1 nomination total,https://m.media-amazon.com/images/M/MV5BZTkzY2VjOTYtNWVmMS00YmQ0LWI3OTAtZDE4ZGJkMzE4NDMxXkEyXkFqcGc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.0/10'}]",N/A,6.0,"6,576",tt1477109,movie,N/A,N/A,N/A,N/A,True
5 Days of War,2011,R,06 Jun 2011,113 min,"Action, Drama, War",Renny Harlin,"Mikko Alanne, David Battle","Rupert Friend, Emmanuelle Chriqui, Richard Coyle","A drama set centered around the war between Russia and Georgia, and focused on an American journalist, his cameraman, and a Georgian native who become caught in the crossfire.",English,"Georgia, United States",N/A,https://m.media-amazon.com/images/M/MV5BMTM2Nzg0NDg4NV5BMl5BanBnXkFtZTcwNTEyODQ4NQ@@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '5.5/10'}, {'Source': 'Rotten Tomatoes', 'Value': '35%'}, {'Source': 'Metacritic', 'Value': '31/100'}]",31,5.5,"14,417",tt1486193,movie,N/A,"$17,479",N/A,N/A,True
