0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
Hannibal Rising,2007,R,09 Feb 2007,121 min,"Adventure, Crime, Drama",Peter Webber,Thomas Harris,"Gaspard Ulliel, Rhys Ifans, Gong Li",Trauma and tragedy during World War II warp young Hannibal Lecter's mind.,"English, German, Russian","Czech Republic, United Kingdom, France, Italy, United States",2 nominations total,https://m.media-amazon.com/images/M/MV5BMTIzMTA0NTM4NF5BMl5BanBnXkFtZTcwNjY3ODM0MQ@@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.1/10'}, {'Source': 'Rotten Tomatoes', 'Value': '16%'}, {'Source': 'Metacritic', 'Value': '35/100'}]",35,6.1,"119,107",tt0367959,movie,N/A,"$27,670,986",N/A,N/A,True
The Story of Us,1999,R,15 Oct 1999,95 min,"Comedy, Drama, Romance",Rob Reiner,"Alan Zweibel, Jessie Nelson","Bruce Willis, Michelle Pfeiffer, Colleen Rennison",Ben and Katie Jordan are a married couple who go through hard times in fifteen years of marriage.,"English, Italian",United States,1 win & 4 nominations,https://m.media-amazon.com/images/M/MV5BMmQ3ZTJhZmUtOThhOS00ZTA3LWFjY2YtNjJiMzk4MDVmMzM4XkEyXkFqcGc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.0/10'}, {'Source': 'Rotten Tomatoes', 'Value': '26%'}, {'Source': 'Metacritic', 'Value': '37/100'}]",37,6.0,"25,220",tt0160916,movie,N/A,"$27,100,031",N/A,N/A,True
The Host,2006,R,30 Mar 2007,120 min,"Drama, Horror, Sci-Fi",Bong Joon Ho,"Bong Joon Ho, Won-jun Ha, Chul-hyun Baek","Song Kang-ho, Byun Hee-Bong, Park Hae-il",A monster emerges from Seoul's Han River and begins attacking people. One victim's loving family does what it can to rescue her from its clutches.,"Korean, English","South Korea, Japan",29 wins & 36 nominations total,https://m.media-amazon.com/images/M/MV5BMTQzYzI1MDAtYzVkOC00N2U1LThmNzYtNmYyNDg5MzQwYjEwXkEyXkFqcGc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.1/10'}, {'Source': 'Rotten Tomatoes', 'Value': '93%'}, {'Source': 'Metacritic', 'Value': '85/100'}]",85,7.1,"136,559",tt0468492,movie,N/A,"$2,201,923",N/A,N/A,True
Basic Instinct,1992,R,20 Mar 1992,127 min,"Drama, Mystery, Thriller",Paul Verhoeven,Joe Eszterhas,"Michael Douglas, Sharon Stone, George Dzundza",A violent police detective investigates a brutal murder that might involve a manipulative and seductive novelist.,"English, Spanish","France, United States, United Kingdom",Nominated for 2 Oscars. 6 wins & 23 nominations total,https://m.media-amazon.com/images/M/MV5BZWYwYmQzYTctMjg5Ni00NWZkLWI5NzItZGFjMDM2NDkyNGZlXkEyXkFqcGc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.1/10'}, {'Source': 'Rotten Tomatoes', 'Value': '55%'}, {'Source': 'Metacritic', 'Value': '43/100'}]",43,7.1,"228,068",tt0103772,movie,N/A,"$117,727,224",N/A,N/A,True
Blood Work,2002,R,09 Aug 2002,110 min,"Action, Crime, Drama",Clint Eastwood,"Michael Connelly, Brian Helgeland","Clint Eastwood, Jeff Daniels, Anjelica Huston","Still recovering from a heart transplant, retired F.B.I. profiler Terry McCaleb returns to service when his own blood analysis offers clues to the identity of a serial killer.","English, Spanish",United States,2 wins total,https://m.media-amazon.com/images/M/MV5BMTIxMDMzMDk1NV5BMl5BanBnXkFtZTYwNzgxNDY3._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.4/10'}, {'Source': 'Rotten Tomatoes', 'Value': '51%'}, {'Source': 'Metacritic', 'Value': '64/100'}]",64,6.4,"49,340",tt0309377,movie,N/A,"$26,235,081",N/A,N/A,True
The International,2009,R,13 Feb 2009,118 min,"Action, Crime, Drama",Tom Tykwer,Eric Warren Singer,"Clive Owen, Naomi Watts, Armin Mueller-Stahl",An Interpol agent attempts to expose a high-profile financial institution's role in an international arms dealing ring.,"English, Italian, French, Danish","United States, Germany, United Kingdom, France, Turkey",1 win & 1 nomination total,https://m.media-amazon.com/images/M/MV5BMjE3Njg5NzY2OV5BMl5BanBnXkFtZTcwMDMxNjEwMg@@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.5/10'}, {'Source': 'Rotten Tomatoes', 'Value': '57%'}, {'Source': 'Metacritic', 'Value': '52/100'}]",52,6.5,"101,774",tt0963178,movie,N/A,"$25,450,527",N/A,N/A,True
Escape from L.A.,1996,R,09 Aug 1996,101 min,"Action, Adventure, Sci-Fi",John Carpenter,"John Carpenter, Nick Castle, Debra Hill","Kurt Russell, Steve Buscemi, Stacy Keach","Snake Plissken is once again called in by the United States government to do a dirty job. This time to recover a potential doomsday device from Los Angeles, now an autonomous island where undesirables are exiled.","English, Spanish",United States,3 nominations total,https://m.media-amazon.com/images/M/MV5BNzM0NjI1MjItYzYwNS00YTQzLThlOGMtMmFkZTIyN2MxNGUyXkEyXkFqcGc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '5.7/10'}, {'Source': 'Rotten Tomatoes', 'Value': '54%'}, {'Source': 'Metacritic', 'Value': '54/100'}]",54,5.7,"83,095",tt0116225,movie,N/A,"$25,477,365",N/A,N/A,True
Twisted Metal,2023–,TV-MA,27 Jul 2023,N/A,"Action, Adventure, Comedy",N/A,"Michael Jonathan Smith, David Jaffe, Rhett Reese","Anthony Mackie, Stephanie Beatriz, Joe Seanoa",An outsider must deliver a mysterious package across a post-apocalyptic wasteland in exchange for a better life.,English,United States,Nominated for 1 Primetime Emmy. 4 nominations total,https://m.media-amazon.com/images/M/MV5BNDA1NDVjNGMtZjFiZS00YjNiLWEwNTUtNTcyMGIxMTE1ZGY3XkEyXkFqcGc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.3/10'}]",N/A,7.3,"30,464",tt14261112,series,1,True,,,
The Iron Giant,1999,PG,06 Aug 1999,86 min,"Animation, Action, Adventure",Brad Bird,"Tim McCanlies, Brad Bird, Ted Hughes","Eli Marienthal, Harry Connick Jr., Jennifer Aniston",A young boy befriends a giant robot from outer space that a paranoid government agent wants to destroy.,English,"United States, Czech Republic, United Kingdom",Won 1 BAFTA Award20 wins & 18 nominations total,https://m.media-amazon.com/images/M/MV5BODM4ZjZjMGEtYmFiMy00MThjLWIzZjUtMDU0ODg1NTI2MzIwXkEyXkFqcGc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '8.1/10'}, {'Source': 'Rotten Tomatoes', 'Value': '96%'}, {'Source': 'Metacritic', 'Value': '85/100'}]",85,8.1,"244,452",tt0129167,movie,N/A,"$23,315,035",N/A,N/A,True
The Life Aquatic with Steve Zissou,2004,R,25 Dec 2004,119 min,"Action, Adventure, Comedy",Wes Anderson,"Wes Anderson, Noah Baumbach","Bill Murray, Owen Wilson, Anjelica Huston","With a plan to exact revenge on a legendary shark that killed his partner, oceanographer Steve Zissou (Bill Murray) rallies a crew that includes his estranged wife, a journalist, and a man who may or may not be his son.","English, Icelandic, Filipino, Portuguese, French, Tagalog, German, Italian",United States,3 wins & 10 nominations total,https://m.media-amazon.com/images/M/MV5BMTYzODYzNzg2MF5BMl5BanBnXkFtZTcwMTkzOTQzMw@@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.2/10'}, {'Source': 'Rotten Tomatoes', 'Value': '73%'}, {'Source': 'Metacritic', 'Value': '62/100'}]",62,7.2,"215,225",tt0362270,movie,N/A,"$24,020,403",N/A,N/A,True
